t (s)	V (volts)
4.404E-04	1.300E+00
4.454E-04	1.305E+00
4.505E-04	1.309E+00
4.555E-04	1.313E+00
4.605E-04	1.317E+00
4.655E-04	1.320E+00
4.705E-04	1.323E+00
4.755E-04	1.326E+00
4.805E-04	1.329E+00
4.855E-04	1.331E+00
4.905E-04	1.333E+00
4.955E-04	1.335E+00
5.005E-04	1.336E+00
5.055E-04	1.337E+00
5.105E-04	1.338E+00
5.155E-04	1.338E+00
5.205E-04	1.339E+00
5.255E-04	1.339E+00
5.305E-04	1.338E+00
5.355E-04	1.338E+00
5.405E-04	1.337E+00
5.455E-04	1.336E+00
5.506E-04	1.334E+00
5.556E-04	1.332E+00
5.606E-04	1.330E+00
5.656E-04	1.328E+00
5.706E-04	1.325E+00
5.756E-04	1.323E+00
5.806E-04	1.320E+00
5.856E-04	1.316E+00
5.906E-04	1.312E+00
5.956E-04	1.309E+00
6.006E-04	1.304E+00
6.056E-04	1.300E+00
6.106E-04	1.295E+00
6.156E-04	1.290E+00
6.206E-04	1.285E+00
6.256E-04	1.280E+00
6.306E-04	1.274E+00
6.356E-04	1.268E+00
6.406E-04	1.262E+00
6.456E-04	1.255E+00
6.507E-04	1.249E+00
6.557E-04	1.242E+00
6.607E-04	1.234E+00
6.657E-04	1.227E+00
6.707E-04	1.219E+00
6.757E-04	1.212E+00
6.807E-04	1.203E+00
6.857E-04	1.195E+00
6.907E-04	1.187E+00
6.957E-04	1.178E+00
7.007E-04	1.169E+00
7.057E-04	1.160E+00
7.107E-04	1.150E+00
7.157E-04	1.141E+00
7.207E-04	1.131E+00
7.257E-04	1.121E+00
7.307E-04	1.111E+00
7.357E-04	1.101E+00
7.407E-04	1.090E+00
7.457E-04	1.079E+00
7.508E-04	1.068E+00
7.558E-04	1.057E+00
7.608E-04	1.046E+00
7.658E-04	1.035E+00
7.708E-04	1.023E+00
7.758E-04	1.011E+00
7.808E-04	9.994E-01
7.858E-04	9.874E-01
7.908E-04	9.752E-01
7.958E-04	9.628E-01
8.008E-04	9.504E-01
8.058E-04	9.377E-01
8.108E-04	9.250E-01
8.158E-04	9.121E-01
8.208E-04	8.991E-01
8.258E-04	8.859E-01
8.308E-04	8.727E-01
8.358E-04	8.593E-01
8.408E-04	8.459E-01
8.458E-04	8.323E-01
8.509E-04	8.186E-01
8.559E-04	8.048E-01
8.609E-04	7.909E-01
8.659E-04	7.770E-01
8.709E-04	7.629E-01
8.759E-04	7.488E-01
8.809E-04	7.346E-01
8.859E-04	7.203E-01
8.909E-04	7.060E-01
8.959E-04	6.916E-01
9.009E-04	6.771E-01
9.059E-04	6.626E-01
9.109E-04	6.481E-01
9.159E-04	6.334E-01
9.209E-04	6.188E-01
9.259E-04	6.041E-01
9.309E-04	5.893E-01
9.359E-04	5.746E-01
9.409E-04	5.598E-01
9.459E-04	5.450E-01
9.510E-04	5.301E-01
9.560E-04	5.153E-01
9.610E-04	5.004E-01
9.660E-04	4.856E-01
9.710E-04	4.707E-01
9.760E-04	4.559E-01
9.810E-04	4.410E-01
9.860E-04	4.262E-01
9.910E-04	4.114E-01
9.960E-04	3.965E-01
1.001E-03	3.818E-01
1.006E-03	3.670E-01
1.011E-03	3.523E-01
1.016E-03	3.376E-01
1.021E-03	3.229E-01
1.026E-03	3.083E-01
1.031E-03	2.937E-01
1.036E-03	2.792E-01
1.041E-03	2.647E-01
1.046E-03	2.503E-01
1.051E-03	2.360E-01
1.056E-03	2.217E-01
1.061E-03	2.075E-01
1.066E-03	1.933E-01
1.071E-03	1.792E-01
1.076E-03	1.652E-01
1.081E-03	1.513E-01
1.086E-03	1.375E-01
1.091E-03	1.237E-01
1.096E-03	1.101E-01
1.101E-03	9.653E-02
1.106E-03	8.307E-02
1.111E-03	6.970E-02
1.116E-03	5.645E-02
1.121E-03	4.330E-02
1.126E-03	3.026E-02
1.131E-03	1.733E-02
1.136E-03	4.518E-03
1.141E-03	-8.175E-03
1.146E-03	-2.075E-02
1.151E-03	-3.319E-02
1.156E-03	-4.551E-02
1.161E-03	-5.771E-02
1.166E-03	-6.977E-02
1.171E-03	-8.169E-02
1.176E-03	-9.348E-02
1.181E-03	-1.051E-01
1.186E-03	-1.166E-01
1.191E-03	-1.280E-01
1.196E-03	-1.392E-01
1.201E-03	-1.503E-01
1.206E-03	-1.612E-01
1.211E-03	-1.720E-01
1.216E-03	-1.826E-01
1.221E-03	-1.930E-01
1.226E-03	-2.033E-01
1.231E-03	-2.135E-01
1.236E-03	-2.234E-01
1.241E-03	-2.332E-01
1.246E-03	-2.429E-01
1.251E-03	-2.524E-01
1.256E-03	-2.617E-01
1.261E-03	-2.708E-01
1.266E-03	-2.798E-01
1.271E-03	-2.886E-01
1.276E-03	-2.972E-01
1.281E-03	-3.056E-01
1.286E-03	-3.139E-01
1.291E-03	-3.220E-01
1.296E-03	-3.299E-01
1.301E-03	-3.376E-01
1.306E-03	-3.452E-01
1.311E-03	-3.526E-01
1.316E-03	-3.597E-01
1.321E-03	-3.668E-01
1.326E-03	-3.736E-01
1.331E-03	-3.802E-01
1.336E-03	-3.867E-01
1.341E-03	-3.930E-01
1.346E-03	-3.990E-01
1.351E-03	-4.050E-01
1.356E-03	-4.107E-01
1.361E-03	-4.162E-01
1.366E-03	-4.216E-01
1.371E-03	-4.267E-01
1.376E-03	-4.317E-01
1.381E-03	-4.365E-01
1.386E-03	-4.411E-01
1.391E-03	-4.455E-01
1.396E-03	-4.497E-01
1.401E-03	-4.538E-01
1.406E-03	-4.577E-01
1.411E-03	-4.614E-01
1.416E-03	-4.649E-01
1.421E-03	-4.682E-01
1.426E-03	-4.713E-01
1.431E-03	-4.743E-01
1.436E-03	-4.770E-01
1.441E-03	-4.796E-01
1.446E-03	-4.820E-01
1.451E-03	-4.843E-01
1.456E-03	-4.863E-01
1.461E-03	-4.882E-01
1.466E-03	-4.899E-01
1.471E-03	-4.915E-01
1.476E-03	-4.928E-01
1.481E-03	-4.940E-01
1.486E-03	-4.950E-01
1.491E-03	-4.959E-01
1.496E-03	-4.966E-01
1.502E-03	-4.971E-01
1.507E-03	-4.975E-01
1.512E-03	-4.977E-01
1.517E-03	-4.977E-01
1.522E-03	-4.976E-01
1.527E-03	-4.973E-01
1.532E-03	-4.968E-01
1.537E-03	-4.962E-01
1.542E-03	-4.955E-01
1.547E-03	-4.946E-01
1.552E-03	-4.935E-01
1.557E-03	-4.923E-01
1.562E-03	-4.910E-01
1.567E-03	-4.895E-01
1.572E-03	-4.879E-01
1.577E-03	-4.861E-01
1.582E-03	-4.842E-01
1.587E-03	-4.821E-01
1.592E-03	-4.800E-01
1.597E-03	-4.777E-01
1.602E-03	-4.752E-01
1.607E-03	-4.727E-01
1.612E-03	-4.700E-01
1.617E-03	-4.672E-01
1.622E-03	-4.643E-01
1.627E-03	-4.612E-01
1.632E-03	-4.581E-01
1.637E-03	-4.548E-01
1.642E-03	-4.514E-01
1.647E-03	-4.480E-01
1.652E-03	-4.444E-01
1.657E-03	-4.407E-01
1.662E-03	-4.369E-01
1.667E-03	-4.330E-01
1.672E-03	-4.290E-01
1.677E-03	-4.250E-01
1.682E-03	-4.208E-01
1.687E-03	-4.166E-01
1.692E-03	-4.122E-01
1.697E-03	-4.078E-01
1.702E-03	-4.033E-01
1.707E-03	-3.988E-01
1.712E-03	-3.941E-01
1.717E-03	-3.894E-01
1.722E-03	-3.847E-01
1.727E-03	-3.798E-01
1.732E-03	-3.749E-01
1.737E-03	-3.699E-01
1.742E-03	-3.649E-01
1.747E-03	-3.599E-01
1.752E-03	-3.547E-01
1.757E-03	-3.496E-01
1.762E-03	-3.443E-01
1.767E-03	-3.391E-01
1.772E-03	-3.338E-01
1.777E-03	-3.284E-01
1.782E-03	-3.230E-01
1.787E-03	-3.176E-01
1.792E-03	-3.122E-01
1.797E-03	-3.067E-01
1.802E-03	-3.012E-01
1.807E-03	-2.957E-01
1.812E-03	-2.902E-01
1.817E-03	-2.846E-01
1.822E-03	-2.791E-01
1.827E-03	-2.735E-01
1.832E-03	-2.679E-01
1.837E-03	-2.623E-01
1.842E-03	-2.567E-01
1.847E-03	-2.511E-01
1.852E-03	-2.455E-01
1.857E-03	-2.399E-01
1.862E-03	-2.343E-01
1.867E-03	-2.287E-01
1.872E-03	-2.231E-01
1.877E-03	-2.176E-01
1.882E-03	-2.120E-01
1.887E-03	-2.065E-01
1.892E-03	-2.010E-01
1.897E-03	-1.955E-01
1.902E-03	-1.901E-01
1.907E-03	-1.846E-01
1.912E-03	-1.792E-01
1.917E-03	-1.738E-01
1.922E-03	-1.685E-01
1.927E-03	-1.632E-01
1.932E-03	-1.579E-01
1.937E-03	-1.527E-01
1.942E-03	-1.475E-01
1.947E-03	-1.423E-01
1.952E-03	-1.372E-01
1.957E-03	-1.322E-01
1.962E-03	-1.271E-01
1.967E-03	-1.222E-01
1.972E-03	-1.173E-01
1.977E-03	-1.124E-01
1.982E-03	-1.076E-01
1.987E-03	-1.029E-01
1.992E-03	-9.819E-02
1.997E-03	-9.356E-02
2.002E-03	-8.900E-02
2.007E-03	-8.450E-02
2.012E-03	-8.006E-02
2.017E-03	-7.569E-02
2.022E-03	-7.138E-02
2.027E-03	-6.715E-02
2.032E-03	-6.298E-02
2.037E-03	-5.888E-02
2.042E-03	-5.486E-02
2.047E-03	-5.090E-02
2.052E-03	-4.703E-02
2.057E-03	-4.322E-02
2.062E-03	-3.949E-02
2.067E-03	-3.584E-02
2.072E-03	-3.227E-02
2.077E-03	-2.878E-02
2.082E-03	-2.536E-02
2.087E-03	-2.203E-02
2.092E-03	-1.877E-02
2.097E-03	-1.560E-02
2.102E-03	-1.251E-02
2.107E-03	-9.497E-03
2.112E-03	-6.571E-03
2.117E-03	-3.728E-03
2.122E-03	-9.692E-04
2.127E-03	1.706E-03
2.132E-03	4.296E-03
2.137E-03	6.802E-03
2.142E-03	9.222E-03
2.147E-03	1.156E-02
2.152E-03	1.381E-02
2.157E-03	1.597E-02
2.162E-03	1.805E-02
2.167E-03	2.005E-02
2.172E-03	2.196E-02
2.177E-03	2.378E-02
2.182E-03	2.552E-02
2.187E-03	2.718E-02
2.192E-03	2.875E-02
2.197E-03	3.024E-02
2.202E-03	3.164E-02
2.207E-03	3.296E-02
2.212E-03	3.420E-02
2.217E-03	3.535E-02
2.222E-03	3.643E-02
2.227E-03	3.742E-02
2.232E-03	3.833E-02
2.237E-03	3.916E-02
2.242E-03	3.991E-02
2.247E-03	4.059E-02
2.252E-03	4.118E-02
2.257E-03	4.170E-02
2.262E-03	4.214E-02
2.267E-03	4.251E-02
2.272E-03	4.280E-02
2.277E-03	4.302E-02
2.282E-03	4.317E-02
2.287E-03	4.325E-02
2.292E-03	4.326E-02
2.297E-03	4.319E-02
2.302E-03	4.306E-02
2.307E-03	4.287E-02
2.312E-03	4.260E-02
2.317E-03	4.228E-02
2.322E-03	4.189E-02
2.327E-03	4.144E-02
2.332E-03	4.093E-02
2.337E-03	4.036E-02
2.342E-03	3.973E-02
2.347E-03	3.905E-02
2.352E-03	3.831E-02
2.357E-03	3.752E-02
2.362E-03	3.668E-02
2.367E-03	3.579E-02
2.372E-03	3.485E-02
2.377E-03	3.387E-02
2.382E-03	3.284E-02
2.387E-03	3.176E-02
2.392E-03	3.065E-02
2.397E-03	2.949E-02
2.402E-03	2.830E-02
2.407E-03	2.707E-02
2.412E-03	2.581E-02
2.417E-03	2.451E-02
2.422E-03	2.318E-02
2.427E-03	2.182E-02
2.432E-03	2.044E-02
2.437E-03	1.903E-02
2.442E-03	1.760E-02
2.447E-03	1.614E-02
2.452E-03	1.466E-02
2.457E-03	1.317E-02
2.462E-03	1.166E-02
2.467E-03	1.013E-02
2.472E-03	8.595E-03
2.477E-03	7.046E-03
2.482E-03	5.490E-03
2.487E-03	3.926E-03
2.492E-03	2.357E-03
2.497E-03	7.861E-04
2.503E-03	-7.861E-04
2.508E-03	-2.357E-03
2.513E-03	-3.926E-03
2.518E-03	-5.490E-03
2.523E-03	-7.046E-03
2.528E-03	-8.595E-03
2.533E-03	-1.013E-02
2.538E-03	-1.166E-02
2.543E-03	-1.317E-02
2.548E-03	-1.466E-02
2.553E-03	-1.614E-02
2.558E-03	-1.760E-02
2.563E-03	-1.903E-02
2.568E-03	-2.044E-02
2.573E-03	-2.182E-02
2.578E-03	-2.318E-02
2.583E-03	-2.451E-02
2.588E-03	-2.581E-02
2.593E-03	-2.707E-02
2.598E-03	-2.830E-02
2.603E-03	-2.949E-02
2.608E-03	-3.065E-02
2.613E-03	-3.176E-02
2.618E-03	-3.284E-02
2.623E-03	-3.387E-02
2.628E-03	-3.485E-02
2.633E-03	-3.579E-02
2.638E-03	-3.668E-02
2.643E-03	-3.752E-02
2.648E-03	-3.831E-02
2.653E-03	-3.905E-02
2.658E-03	-3.973E-02
2.663E-03	-4.036E-02
2.668E-03	-4.093E-02
2.673E-03	-4.144E-02
2.678E-03	-4.189E-02
2.683E-03	-4.228E-02
2.688E-03	-4.260E-02
2.693E-03	-4.287E-02
2.698E-03	-4.306E-02
2.703E-03	-4.319E-02
2.708E-03	-4.326E-02
2.713E-03	-4.325E-02
2.718E-03	-4.317E-02
2.723E-03	-4.302E-02
2.728E-03	-4.280E-02
2.733E-03	-4.251E-02
2.738E-03	-4.214E-02
2.743E-03	-4.170E-02
2.748E-03	-4.118E-02
2.753E-03	-4.059E-02
2.758E-03	-3.991E-02
2.763E-03	-3.916E-02
2.768E-03	-3.833E-02
2.773E-03	-3.742E-02
2.778E-03	-3.643E-02
2.783E-03	-3.535E-02
2.788E-03	-3.420E-02
2.793E-03	-3.296E-02
2.798E-03	-3.164E-02
2.803E-03	-3.024E-02
2.808E-03	-2.875E-02
2.813E-03	-2.718E-02
2.818E-03	-2.552E-02
2.823E-03	-2.378E-02
2.828E-03	-2.196E-02
2.833E-03	-2.005E-02
2.838E-03	-1.805E-02
2.843E-03	-1.597E-02
2.848E-03	-1.381E-02
2.853E-03	-1.156E-02
2.858E-03	-9.222E-03
2.863E-03	-6.802E-03
2.868E-03	-4.296E-03
2.873E-03	-1.706E-03
2.878E-03	9.692E-04
2.883E-03	3.728E-03
2.888E-03	6.571E-03
2.893E-03	9.497E-03
2.898E-03	1.251E-02
2.903E-03	1.560E-02
2.908E-03	1.877E-02
2.913E-03	2.203E-02
2.918E-03	2.536E-02
2.923E-03	2.878E-02
2.928E-03	3.227E-02
2.933E-03	3.584E-02
2.938E-03	3.949E-02
2.943E-03	4.322E-02
2.948E-03	4.703E-02
2.953E-03	5.090E-02
2.958E-03	5.486E-02
2.963E-03	5.888E-02
2.968E-03	6.298E-02
2.973E-03	6.715E-02
2.978E-03	7.138E-02
2.983E-03	7.569E-02
2.988E-03	8.006E-02
2.993E-03	8.450E-02
2.998E-03	8.900E-02
3.003E-03	9.356E-02
3.008E-03	9.819E-02
3.013E-03	1.029E-01
3.018E-03	1.076E-01
3.023E-03	1.124E-01
3.028E-03	1.173E-01
3.033E-03	1.222E-01
3.038E-03	1.271E-01
3.043E-03	1.322E-01
3.048E-03	1.372E-01
3.053E-03	1.423E-01
3.058E-03	1.475E-01
3.063E-03	1.527E-01
3.068E-03	1.579E-01
3.073E-03	1.632E-01
3.078E-03	1.685E-01
3.083E-03	1.738E-01
3.088E-03	1.792E-01
3.093E-03	1.846E-01
3.098E-03	1.901E-01
3.103E-03	1.955E-01
3.108E-03	2.010E-01
3.113E-03	2.065E-01
3.118E-03	2.120E-01
3.123E-03	2.176E-01
3.128E-03	2.231E-01
3.133E-03	2.287E-01
3.138E-03	2.343E-01
3.143E-03	2.399E-01
3.148E-03	2.455E-01
3.153E-03	2.511E-01
3.158E-03	2.567E-01
3.163E-03	2.623E-01
3.168E-03	2.679E-01
3.173E-03	2.735E-01
3.178E-03	2.791E-01
3.183E-03	2.846E-01
3.188E-03	2.902E-01
3.193E-03	2.957E-01
3.198E-03	3.012E-01
3.203E-03	3.067E-01
3.208E-03	3.122E-01
3.213E-03	3.176E-01
3.218E-03	3.230E-01
3.223E-03	3.284E-01
3.228E-03	3.338E-01
3.233E-03	3.391E-01
3.238E-03	3.443E-01
3.243E-03	3.496E-01
3.248E-03	3.547E-01
3.253E-03	3.599E-01
3.258E-03	3.649E-01
3.263E-03	3.699E-01
3.268E-03	3.749E-01
3.273E-03	3.798E-01
3.278E-03	3.847E-01
3.283E-03	3.894E-01
3.288E-03	3.941E-01
3.293E-03	3.988E-01
3.298E-03	4.033E-01
3.303E-03	4.078E-01
3.308E-03	4.122E-01
3.313E-03	4.166E-01
3.318E-03	4.208E-01
3.323E-03	4.250E-01
3.328E-03	4.290E-01
3.333E-03	4.330E-01
3.338E-03	4.369E-01
3.343E-03	4.407E-01
3.348E-03	4.444E-01
3.353E-03	4.480E-01
3.358E-03	4.514E-01
3.363E-03	4.548E-01
3.368E-03	4.581E-01
3.373E-03	4.612E-01
3.378E-03	4.643E-01
3.383E-03	4.672E-01
3.388E-03	4.700E-01
3.393E-03	4.727E-01
3.398E-03	4.752E-01
3.403E-03	4.777E-01
3.408E-03	4.800E-01
3.413E-03	4.821E-01
3.418E-03	4.842E-01
3.423E-03	4.861E-01
3.428E-03	4.879E-01
3.433E-03	4.895E-01
3.438E-03	4.910E-01
3.443E-03	4.923E-01
3.448E-03	4.935E-01
3.453E-03	4.946E-01
3.458E-03	4.955E-01
3.463E-03	4.962E-01
3.468E-03	4.968E-01
3.473E-03	4.973E-01
3.478E-03	4.976E-01
3.483E-03	4.977E-01
3.488E-03	4.977E-01
3.493E-03	4.975E-01
3.498E-03	4.971E-01
3.504E-03	4.966E-01
3.509E-03	4.959E-01
3.514E-03	4.950E-01
3.519E-03	4.940E-01
3.524E-03	4.928E-01
3.529E-03	4.915E-01
3.534E-03	4.899E-01
3.539E-03	4.882E-01
3.544E-03	4.863E-01
3.549E-03	4.843E-01
3.554E-03	4.820E-01
3.559E-03	4.796E-01
3.564E-03	4.770E-01
3.569E-03	4.743E-01
3.574E-03	4.713E-01
3.579E-03	4.682E-01
3.584E-03	4.649E-01
3.589E-03	4.614E-01
3.594E-03	4.577E-01
3.599E-03	4.538E-01
3.604E-03	4.497E-01
3.609E-03	4.455E-01
3.614E-03	4.411E-01
3.619E-03	4.365E-01
3.624E-03	4.317E-01
3.629E-03	4.267E-01
3.634E-03	4.216E-01
3.639E-03	4.162E-01
3.644E-03	4.107E-01
3.649E-03	4.050E-01
3.654E-03	3.990E-01
3.659E-03	3.930E-01
3.664E-03	3.867E-01
3.669E-03	3.802E-01
3.674E-03	3.736E-01
3.679E-03	3.668E-01
3.684E-03	3.597E-01
3.689E-03	3.526E-01
3.694E-03	3.452E-01
3.699E-03	3.376E-01
3.704E-03	3.299E-01
3.709E-03	3.220E-01
3.714E-03	3.139E-01
3.719E-03	3.056E-01
3.724E-03	2.972E-01
3.729E-03	2.886E-01
3.734E-03	2.798E-01
3.739E-03	2.708E-01
3.744E-03	2.617E-01
3.749E-03	2.524E-01
3.754E-03	2.429E-01
3.759E-03	2.332E-01
3.764E-03	2.234E-01
3.769E-03	2.135E-01
3.774E-03	2.033E-01
3.779E-03	1.930E-01
3.784E-03	1.826E-01
3.789E-03	1.720E-01
3.794E-03	1.612E-01
3.799E-03	1.503E-01
3.804E-03	1.392E-01
3.809E-03	1.280E-01
3.814E-03	1.166E-01
3.819E-03	1.051E-01
3.824E-03	9.348E-02
3.829E-03	8.169E-02
3.834E-03	6.977E-02
3.839E-03	5.771E-02
3.844E-03	4.551E-02
3.849E-03	3.319E-02
3.854E-03	2.075E-02
3.859E-03	8.175E-03
3.864E-03	-4.518E-03
3.869E-03	-1.733E-02
3.874E-03	-3.026E-02
3.879E-03	-4.330E-02
3.884E-03	-5.645E-02
3.889E-03	-6.970E-02
3.894E-03	-8.307E-02
3.899E-03	-9.653E-02
3.904E-03	-1.101E-01
3.909E-03	-1.237E-01
3.914E-03	-1.375E-01
3.919E-03	-1.513E-01
3.924E-03	-1.652E-01
3.929E-03	-1.792E-01
3.934E-03	-1.933E-01
3.939E-03	-2.075E-01
3.944E-03	-2.217E-01
3.949E-03	-2.360E-01
3.954E-03	-2.503E-01
3.959E-03	-2.647E-01
3.964E-03	-2.792E-01
3.969E-03	-2.937E-01
3.974E-03	-3.083E-01
3.979E-03	-3.229E-01
3.984E-03	-3.376E-01
3.989E-03	-3.523E-01
3.994E-03	-3.670E-01
3.999E-03	-3.818E-01
4.004E-03	-3.965E-01
4.009E-03	-4.114E-01
4.014E-03	-4.262E-01
4.019E-03	-4.410E-01
4.024E-03	-4.559E-01
4.029E-03	-4.707E-01
4.034E-03	-4.856E-01
4.039E-03	-5.004E-01
4.044E-03	-5.153E-01
4.049E-03	-5.301E-01
4.054E-03	-5.450E-01
4.059E-03	-5.598E-01
4.064E-03	-5.746E-01
4.069E-03	-5.893E-01
4.074E-03	-6.041E-01
4.079E-03	-6.188E-01
4.084E-03	-6.334E-01
4.089E-03	-6.481E-01
4.094E-03	-6.626E-01
4.099E-03	-6.771E-01
4.104E-03	-6.916E-01
4.109E-03	-7.060E-01
4.114E-03	-7.203E-01
4.119E-03	-7.346E-01
4.124E-03	-7.488E-01
4.129E-03	-7.629E-01
4.134E-03	-7.770E-01
4.139E-03	-7.909E-01
4.144E-03	-8.048E-01
4.149E-03	-8.186E-01
4.154E-03	-8.323E-01
4.159E-03	-8.459E-01
4.164E-03	-8.593E-01
4.169E-03	-8.727E-01
4.174E-03	-8.859E-01
4.179E-03	-8.991E-01
4.184E-03	-9.121E-01
4.189E-03	-9.250E-01
4.194E-03	-9.377E-01
4.199E-03	-9.504E-01
4.204E-03	-9.628E-01
4.209E-03	-9.752E-01
4.214E-03	-9.874E-01
4.219E-03	-9.994E-01
4.224E-03	-1.011E+00
4.229E-03	-1.023E+00
4.234E-03	-1.035E+00
4.239E-03	-1.046E+00
4.244E-03	-1.057E+00
4.249E-03	-1.068E+00
4.254E-03	-1.079E+00
4.259E-03	-1.090E+00
4.264E-03	-1.101E+00
4.269E-03	-1.111E+00
4.274E-03	-1.121E+00
4.279E-03	-1.131E+00
4.284E-03	-1.141E+00
4.289E-03	-1.150E+00
4.294E-03	-1.160E+00
4.299E-03	-1.169E+00
4.304E-03	-1.178E+00
4.309E-03	-1.187E+00
4.314E-03	-1.195E+00
4.319E-03	-1.203E+00
4.324E-03	-1.212E+00
4.329E-03	-1.219E+00
4.334E-03	-1.227E+00
4.339E-03	-1.234E+00
4.344E-03	-1.242E+00
4.349E-03	-1.249E+00
4.354E-03	-1.255E+00
4.359E-03	-1.262E+00
4.364E-03	-1.268E+00
4.369E-03	-1.274E+00
4.374E-03	-1.280E+00
4.379E-03	-1.285E+00
4.384E-03	-1.290E+00
4.389E-03	-1.295E+00
4.394E-03	-1.300E+00
4.399E-03	-1.304E+00
4.404E-03	-1.309E+00
4.409E-03	-1.312E+00
4.414E-03	-1.316E+00
4.419E-03	-1.320E+00
4.424E-03	-1.323E+00
4.429E-03	-1.325E+00
4.434E-03	-1.328E+00
4.439E-03	-1.330E+00
4.444E-03	-1.332E+00
4.449E-03	-1.334E+00
4.454E-03	-1.336E+00
4.459E-03	-1.337E+00
4.464E-03	-1.338E+00
4.469E-03	-1.338E+00
4.474E-03	-1.339E+00
4.479E-03	-1.339E+00
4.484E-03	-1.338E+00
4.489E-03	-1.338E+00
4.494E-03	-1.337E+00
4.499E-03	-1.336E+00
4.505E-03	-1.335E+00
4.510E-03	-1.333E+00
4.515E-03	-1.331E+00
4.520E-03	-1.329E+00
4.525E-03	-1.326E+00
4.530E-03	-1.323E+00
4.535E-03	-1.320E+00
4.540E-03	-1.317E+00
4.545E-03	-1.313E+00
4.550E-03	-1.309E+00
4.555E-03	-1.305E+00
4.560E-03	-1.300E+00
4.565E-03	-1.295E+00
4.570E-03	-1.290E+00
4.575E-03	-1.285E+00
4.580E-03	-1.279E+00
4.585E-03	-1.273E+00
4.590E-03	-1.267E+00
4.595E-03	-1.260E+00
4.600E-03	-1.253E+00
4.605E-03	-1.246E+00
4.610E-03	-1.239E+00
4.615E-03	-1.231E+00
4.620E-03	-1.223E+00
4.625E-03	-1.215E+00
4.630E-03	-1.206E+00
4.635E-03	-1.197E+00
4.640E-03	-1.188E+00
4.645E-03	-1.179E+00
4.650E-03	-1.169E+00
4.655E-03	-1.159E+00
4.660E-03	-1.149E+00
4.665E-03	-1.139E+00
4.670E-03	-1.128E+00
4.675E-03	-1.117E+00
4.680E-03	-1.106E+00
4.685E-03	-1.095E+00
4.690E-03	-1.083E+00
4.695E-03	-1.071E+00
4.700E-03	-1.059E+00
4.705E-03	-1.046E+00
4.710E-03	-1.033E+00
4.715E-03	-1.020E+00
4.720E-03	-1.007E+00
4.725E-03	-9.939E-01
4.730E-03	-9.802E-01
4.735E-03	-9.663E-01
4.740E-03	-9.522E-01
4.745E-03	-9.379E-01
4.750E-03	-9.233E-01
4.755E-03	-9.086E-01
4.760E-03	-8.936E-01
4.765E-03	-8.784E-01
4.770E-03	-8.630E-01
4.775E-03	-8.474E-01
4.780E-03	-8.316E-01
4.785E-03	-8.156E-01
4.790E-03	-7.994E-01
4.795E-03	-7.830E-01
4.800E-03	-7.664E-01
4.805E-03	-7.497E-01
4.810E-03	-7.327E-01
4.815E-03	-7.156E-01
4.820E-03	-6.984E-01
4.825E-03	-6.809E-01
